urn	hgvs_lines	peak_rss_gb
urn:mavedb:00001031-a-1	440	0.479
urn:mavedb:00001032-a-1	440	0.399
urn:mavedb:00001033-a-1	440	0.403
urn:mavedb:00001034-a-1	440	0.412
urn:mavedb:00001035-a-1	1460	0.123
urn:mavedb:00001036-a-1	900	0.139
urn:mavedb:00001037-a-1	1420	1.400
urn:mavedb:00001038-a-1	1480	0.141
urn:mavedb:00001039-a-1	1500	0.141
urn:mavedb:00001040-a-1	1400	0.297
urn:mavedb:00001041-a-1	1540	0.134
urn:mavedb:00001042-a-1	1500	0.133
urn:mavedb:00001043-a-1	1940	8.700
urn:mavedb:00001044-a-1	980	5.100
urn:mavedb:00001045-a-1	1120	7.600
urn:mavedb:00001046-a-1	1180	0.122
urn:mavedb:00001047-a-1	1100	0.122
urn:mavedb:00001048-a-1	1120	0.946
urn:mavedb:00001049-a-1	1720	0.146
urn:mavedb:00001050-a-1	1000	0.117
urn:mavedb:00001051-a-1	1000	0.122
urn:mavedb:00001052-a-1	1020	0.121
urn:mavedb:00001053-a-1	1020	0.115
urn:mavedb:00001054-a-1	1000	0.140
urn:mavedb:00001055-a-1	860	19.900
urn:mavedb:00001056-a-1	1360	6.300
urn:mavedb:00001057-a-1	880	0.140
urn:mavedb:00001058-a-1	860	0.146
urn:mavedb:00001059-a-1	1340	0.145
urn:mavedb:00001060-a-1	980	0.123
urn:mavedb:00001062-a-1	1860	9.500
urn:mavedb:00001063-a-1	1360	0.121
urn:mavedb:00001064-a-1	1360	0.119
urn:mavedb:00001065-a-1	1340	0.124
urn:mavedb:00001066-a-1	1360	8.500
urn:mavedb:00001067-a-1	1340	0.119
urn:mavedb:00001068-a-1	1360	0.116
urn:mavedb:00001069-a-1	1360	0.118
urn:mavedb:00001070-a-1	1360	1.100
urn:mavedb:00001071-a-1	1360	1.900
urn:mavedb:00001072-a-1	1360	0.131
urn:mavedb:00001073-a-1	480	0.783
urn:mavedb:00001074-a-1	1160	1.200
urn:mavedb:00001075-a-1	1460	0.144
urn:mavedb:00001077-a-1	1040	0.231
urn:mavedb:00001078-a-1	1040	0.387
urn:mavedb:00001079-a-1	1140	4.800
urn:mavedb:00001080-a-1	1160	0.120
urn:mavedb:00001081-a-1	1160	0.120
urn:mavedb:00001082-a-1	1360	0.113
urn:mavedb:00001083-a-1	1340	0.133
urn:mavedb:00001084-a-1	1560	0.121
urn:mavedb:00001085-a-1	1560	0.121
urn:mavedb:00001086-a-1	920	0.192
urn:mavedb:00001087-a-1	1480	0.147
urn:mavedb:00001088-a-1	780	0.112
urn:mavedb:00001089-a-1	1320	3.200
urn:mavedb:00001090-a-1	1440	5.600
urn:mavedb:00001091-a-1	520	0.135
urn:mavedb:00001092-a-1	960	0.120
urn:mavedb:00001093-a-1	1380	0.135
urn:mavedb:00001094-a-1	1240	0.160
urn:mavedb:00001095-a-1	1000	0.130
urn:mavedb:00001096-a-1	1120	0.130
urn:mavedb:00001097-a-1	1180	0.131
urn:mavedb:00001098-a-1	1140	0.145
urn:mavedb:00001099-a-1	1160	0.125
urn:mavedb:00001100-a-1	1080	0.121
urn:mavedb:00001101-a-1	720	0.116
urn:mavedb:00001102-a-1	1740	0.171
urn:mavedb:00001104-a-1	1680	0.133
urn:mavedb:00001105-a-1	1900	9.800
urn:mavedb:00001106-a-1	1920	10.000
urn:mavedb:00001107-a-1	1660	0.124
urn:mavedb:00001108-a-1	460	3.300
urn:mavedb:00001109-a-1	800	4.800
urn:mavedb:00001110-a-1	860	5.100
urn:mavedb:00001111-a-1	1360	0.121
urn:mavedb:00001112-a-1	1320	3.100
